target_chembl_id,target_organism,target_pref_name,molecule_chembl_id,molecule_pref_name,pchembl_value,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id
CHEMBL4054,Rattus norvegicus,GABA transporter 1,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.67,IC50,=,2120.0,nM,CHEMBL830010
CHEMBL4054,Rattus norvegicus,GABA transporter 1,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.56,IC50,=,2730.0,nM,CHEMBL830011
CHEMBL4054,Rattus norvegicus,GABA transporter 1,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.74,IC50,=,1830.0,nM,CHEMBL830011
CHEMBL4054,Rattus norvegicus,GABA transporter 1,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.58,IC50,=,2640.0,nM,CHEMBL830009
CHEMBL1907607,Rattus norvegicus,GABA-A receptor; anion channel,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,7.89,IC50,=,13.0,nM,CHEMBL864182
CHEMBL1907607,Rattus norvegicus,GABA-A receptor; anion channel,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,7.82,IC50,=,15.0,nM,CHEMBL870483
CHEMBL1907607,Rattus norvegicus,GABA-A receptor; anion channel,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,7.62,IC50,=,24.0,nM,CHEMBL870484
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,7.62,IC50,=,24.0,nM,CHEMBL919855
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,7.82,IC50,=,15.0,nM,CHEMBL919854
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,7.17,IC50,=,68.0,nM,CHEMBL953143
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,7.36,IC50,=,44.0,nM,CHEMBL982016
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,7.57,IC50,=,27.0,nM,CHEMBL1663587
CHEMBL5445,Mus musculus,GABA transporter 1,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.14,IC50,=,7244.36,nM,CHEMBL1775994
CHEMBL5205,Mus musculus,GABA transporter 3,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,4.56,IC50,=,27542.29,nM,CHEMBL1775995
CHEMBL3699,Mus musculus,GABA transporter 4,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.09,IC50,=,8128.31,nM,CHEMBL1775996
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.18,IC50,=,6606.93,nM,CHEMBL1775997
CHEMBL5445,Mus musculus,GABA transporter 1,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.30,IC50,=,5011.87,nM,CHEMBL2317558
CHEMBL5445,Mus musculus,GABA transporter 1,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.30,IC50,=,5000.0,nM,CHEMBL2317558
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.18,IC50,=,6606.93,nM,CHEMBL2388197
CHEMBL3699,Mus musculus,GABA transporter 4,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,4.94,IC50,=,11481.54,nM,CHEMBL2388198
CHEMBL5205,Mus musculus,GABA transporter 3,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,4.56,IC50,=,27542.29,nM,CHEMBL2388199
CHEMBL5445,Mus musculus,GABA transporter 1,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.14,IC50,=,7244.36,nM,CHEMBL2388200
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,7.14,IC50,=,73.0,nM,CHEMBL2395013
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,7.50,IC50,=,32.0,nM,CHEMBL2395267
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,7.25,IC50,=,56.0,nM,CHEMBL2395693
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,7.68,IC50,=,21.0,nM,CHEMBL3779719
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,7.68,IC50,=,21.0,nM,CHEMBL3876360
CHEMBL1903,Homo sapiens,GABA transporter 1,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.48,IC50,=,3311.31,nM,CHEMBL4031696
CHEMBL1903,Homo sapiens,GABA transporter 1,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.52,IC50,=,3000.0,nM,CHEMBL4031696
CHEMBL3715,Homo sapiens,Betaine transporter,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,4.75,IC50,=,17782.79,nM,CHEMBL4031697
CHEMBL3715,Homo sapiens,Betaine transporter,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,4.60,IC50,=,25000.0,nM,CHEMBL4031697
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.40,IC50,=,3981.07,nM,CHEMBL4031690
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.40,IC50,=,4000.0,nM,CHEMBL4031690
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.40,IC50,=,3981.07,nM,CHEMBL4031712
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,6.07,IC50,=,851.14,nM,CHEMBL4031713
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.81,IC50,=,1548.82,nM,CHEMBL4031714
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.38,IC50,=,4168.69,nM,CHEMBL4031715
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,4.79,IC50,=,16218.1,nM,CHEMBL4031716
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.44,IC50,=,3630.78,nM,CHEMBL4031717
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.12,IC50,=,7585.78,nM,CHEMBL4031718
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.26,IC50,=,5495.41,nM,CHEMBL4031719
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.66,IC50,=,2187.76,nM,CHEMBL4031720
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.18,IC50,=,6606.93,nM,CHEMBL4031721
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.27,IC50,=,5370.32,nM,CHEMBL4031722
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.10,IC50,=,7943.28,nM,CHEMBL4031723
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.10,IC50,=,7943.28,nM,CHEMBL4031724
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,4.82,IC50,=,15135.61,nM,CHEMBL4031725
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.29,IC50,=,5128.61,nM,CHEMBL4031726
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.02,IC50,=,9549.93,nM,CHEMBL4031727
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,4.88,IC50,=,13182.57,nM,CHEMBL4031728
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.13,IC50,=,7413.1,nM,CHEMBL4031729
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.26,IC50,=,5495.41,nM,CHEMBL4031730
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,4.85,IC50,=,14125.38,nM,CHEMBL4031731
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.40,IC50,=,4000.0,nM,CHEMBL4031712
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,6.00,IC50,=,1000.0,nM,CHEMBL4031713
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.70,IC50,=,2000.0,nM,CHEMBL4031714
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.30,IC50,=,5000.0,nM,CHEMBL4031715
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,4.77,IC50,=,17000.0,nM,CHEMBL4031716
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.40,IC50,=,4000.0,nM,CHEMBL4031717
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.10,IC50,=,8000.0,nM,CHEMBL4031718
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.22,IC50,=,6000.0,nM,CHEMBL4031719
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.52,IC50,=,3000.0,nM,CHEMBL4031720
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.05,IC50,=,9000.0,nM,CHEMBL4031721
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.16,IC50,=,7000.0,nM,CHEMBL4031722
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.05,IC50,=,9000.0,nM,CHEMBL4031723
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.05,IC50,=,9000.0,nM,CHEMBL4031724
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,4.80,IC50,=,16000.0,nM,CHEMBL4031725
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.22,IC50,=,6000.0,nM,CHEMBL4031726
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,4.96,IC50,=,11000.0,nM,CHEMBL4031727
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,4.89,IC50,=,13000.0,nM,CHEMBL4031728
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.10,IC50,=,8000.0,nM,CHEMBL4031729
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.22,IC50,=,6000.0,nM,CHEMBL4031730
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,4.77,IC50,=,17000.0,nM,CHEMBL4031731
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,4.97,IC50,=,10715.19,nM,CHEMBL4031732
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,4.99,IC50,=,10232.93,nM,CHEMBL4031733
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.48,IC50,=,3311.31,nM,CHEMBL4031734
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,6.00,IC50,=,1000.0,nM,CHEMBL4031735
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,4.96,IC50,=,11000.0,nM,CHEMBL4031732
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,4.96,IC50,=,11000.0,nM,CHEMBL4031733
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.52,IC50,=,3000.0,nM,CHEMBL4031734
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,6.00,IC50,=,1000.0,nM,CHEMBL4031735
CHEMBL3715,Homo sapiens,Betaine transporter,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,4.56,IC50,=,27542.29,nM,CHEMBL4031736
CHEMBL3715,Homo sapiens,Betaine transporter,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,4.41,IC50,=,39000.0,nM,CHEMBL4031736
CHEMBL3715,Homo sapiens,Betaine transporter,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,,IC50,=,165958.69,nM,CHEMBL4031737
CHEMBL3715,Homo sapiens,Betaine transporter,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,,IC50,=,181000.0,nM,CHEMBL4031737
CHEMBL3715,Homo sapiens,Betaine transporter,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.41,IC50,=,3890.45,nM,CHEMBL4031738
CHEMBL3715,Homo sapiens,Betaine transporter,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.05,IC50,=,9000.0,nM,CHEMBL4031738
CHEMBL1911,Homo sapiens,Succinate semialdehyde dehydrogenase,CHEMBL202132,PARAHYDROXYBENZYL ALCOHOL,,IC50,>,1000000.0,nM,CHEMBL867028
CHEMBL2044,Homo sapiens,Gamma-amino-N-butyrate transaminase,CHEMBL202132,PARAHYDROXYBENZYL ALCOHOL,,IC50,>,1000000.0,nM,CHEMBL867027
CHEMBL398,Homo sapiens,KB,CHEMBL202132,PARAHYDROXYBENZYL ALCOHOL,,IC50,>,200000.0,nM,CHEMBL887672
